ID,content,score
2228,"pouffe sympa et pas encombrante, belle couleur,  mais c'est cher pou ce que c'est",0
3840,Le panceau très petite,0
4174,Bon produit,-1
1729,"La brosse a dents est de tres mauvaise qualité,il faut dire qu'elle edt dangereuse pour la santé des enfants, les poils se detachent dés la 1ere utilisation.
Brosse a dents jetée a la poubelle a la 3eme utilisation.
Pour la brosse a cheveux pas de probleme",-1
199,Très loin des autres  marques.,-1
2295,Adhésif 0,-1
3907,normalement les gel aloe vera ca calme les irritations. Ce gel ne fait rien du tout. FLOP!,-1
2054,Si la couleur était plus foncée,0
1410,C'est de l'eau je l'ai jeté,-1
2822,Nul Par rapport qualité prix,-1
863,Qualité très mauvaise,-1
1677,3 étoiles,0
3909,Je regrette de l'avoir acheté il ne couvre rien du tout,-1
2728,Rapport qualité prix ey3addi rou7ou,0
3378,joli mais fragile,-1
3206,"Non robuste, très fin",-1
3301,Pas facile pour le nettoyage,-1
808,"la fixation des fils est très fragile, un grand nombre est détaché de la bavette juste en la fixant aux oreilles...",-1
4191,Je l'ai donné comme cadeau,0
3798,Je vous aime ????,-1
4428,la partie rose nettoie bien mais la partie brosse n'est pas pratique. je conseille d'acheter qu'en cas de promotion.,0
2127,jolie pas mal,0
335,Il n'a aucun effet vraiment je suis déçu de ce produit,-1
3675,"La couleur se change vers le vert,j aime pas du tout",-1
2132,Finition nul de la connexion entre le ruban et le transformateur,-1
1072,Bon produit,-1
19,Présentation Artisanal - Odeur pas très efficace.,0
2726,Rapport qualité prix ça va,0
4254,"qualité prix
rien à reprocher",0
2265,"La 1ère fois je l'ai ai reçu avec partie électrique non fonctionnelle,  après réclamation et changement de produit  je l'ai reçu partie gaz non fonctionnelle,  malheureusement je n'ai fait attention qu'après 10 jours",-1
385,Le goût n'est pas délicieux du tout,-1
2542,Médiocre produit et instable.,-1
1112,Il ce colle dans la main,-1
734,"Prix un peu élevé, sinon le plumeau fait l'affaire.",0
2997,5m seulement,-1
811,L'élastique se déchire dans même une minute,-1
3612,"Très rapide de lissage
C'est extraordinaire",-1
1972,Pas vraiment confortable,0
3481,Yzayet barcha et l'odeur désagréable,0
3038,Manque de résistance et risque de ne pas supporter le poids d'un séchoir.,0
867,Qualité médiocre,-1
3400,Il y parfait,0
1253,Pas très pratique pendant les périodes de chaleur,0
994,oreilles élastiques fragiles,0
196,Très loin des autres  marques.,-1
2655,Je considère que le prix est un peu élevé,0
500,un des sacs est ouvert,-1
1628,C'est pratique d'avoir 5L et le linge a une bonne odeur,0
1951,"Plus dense
Plus confortable",-1
1066,Le produit est conforme mais en ouvrant le colis la boite était bousillée et les masques étaient éparpillés. Le vendeur aurait dû mieux emballer le produit. C'est des masques chirurgicaux censés nous protéger donc il faut bien les emballer!!!,0
1203,L'élastique ne tient pas bien,0
1222,Très mauvais article ffp2 qui ne facilite pas la respiration et provoque étouffement,-1
3268,n'adhère pas et se détache facilement,-1
2669,"- Étincelles électriques visibles à l’intérieur et à l’extérieur du grille pain quant on appui sur le bouton pour arrêter la cuisson
- Très forte projection des tranches de pain à la fin ou à l’interruption de cuisson, les tranches sont éjectés dans l'air et  tombent par terre ou sur la table :s",-1
